city,lat,lon
Arnhem,51.9833,5.9167
Athens,37.9838,23.7275
Atlanta,33.749,-84.388
Barcelona,41.3825,2.1769
Beijing,39.9042,116.4074
Geilo,60.5337,8.2088
Heidelberg,49.4122,8.71
Innsbruck,47.2692,11.4041
Lillehammer,61.1153,10.4662
London,51.5072,0.1276
Los Angeles,34.052235,-118.243683
Milan and Cortina d'Ampezzo,45.464664,9.18854
Nagano,36.6485,138.195
Ornskoldsvik,63.29,18.7166
Paris,48.864716,2.349014
PyeongChang,37.3705,128.39
Rio,-22.9068,-43.1729
Rome,41.8931,12.4828
Salt Lake City,40.7608,-111.891
Seoul,37.56,126.99
Sochi,43.6028,39.7342
Stoke Mandeville New York,40.7128,-74.006
Sydney,-33.8688,151.2093
Tel Aviv,32.08,34.78
Tignes-Albertville,45.4683,6.9056
Tokyo,35.6897,139.6922
Torino,45.0703,7.6869
Toronto,43.6532,-79.3832
Vancouver,49.2827,-123.1207
