type,year,country,host,NOC,start,end,duration,disabilities_included,countries,events,sports,participants_m,participants_f,participants,highlights
summer,1960,Italy,Rome,ITA,18/09/1960,25/09/1960,7,Spinal injury,23,113,8,,,209,First Games with a disability held in same venues as Olympic Games
summer,1964,Japan,Tokyo,JAP,08/11/1964,12/11/1964,4,Spinal injury,21,143,9,195,71,266,Weightlifting added as a sport
summer,1968,Israel,Tel Aviv,ISR,05/11/1968,14/11/1968,9,Spinal injury,29,188,10,578,196,774,Lawn Bowls added as a sport
summer,1972,Germany,Heidelberg,GER,02/08/1972,11/08/1972,9,Spinal injury,43,188,10,654,268,922,First quadraplegic competition added. Demonstration events for vision impaired athletes
summer,1976,Canada,Toronto,CAN,04/08/1976,12/08/1976,8,"Spinal injury, Amputee, Vision Impairment, Les Autres",40,448,13,1000,271,1271,"First use of specialised racing wheelchairs. Volleyball (Standing), Goalball and Shooting added as sports"
summer,1980,Netherlands,Arnhem,NED,22/06/1980,01/07/1980,9,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",43,590,13,1225,428,1653,Sitting Volleyball added as a discipline. Events for athletes with Cerebral Palsy included
summer,1984,UK,Stoke Mandeville New York,"GBR, USA",17/06/1984,01/08/1984,45,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",58,975,18,1569,536,2105,Football 7-a-side and Boccia added as sports. Cycling added as a discipline. Wheelchair Racing included as demonstration event at Olympic Games
summer,1988,Korea,Seoul,KOR,16/10/1988,25/10/1988,9,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",60,733,18,2370,671,3041,Judo and Wheelchair Tennis added as sports. Co-operation between Olympic and Paralympic Organizing Committees. Shared venues with Olympics which has continued ever since
summer,1992,Spain,Barcelona,ESP,05/09/1992,16/09/1992,11,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",83,489,16,2300,699,2999,Event benchmark in organisational excellence
summer,1996,USA,Atlanta,USA,16/08/1996,25/08/1996,9,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",104,519,19,2462,790,3252,Equestrian added as a sport. Track cycling added as a discipline
